,Hardware Integrity,,,,,Local Access,,,,,Mobile Security,,,,,,,Wi-Fi Security,,,,Service Security,,,,,,,,,,,Hardware Security,,,,Firmware Updates,,,,,,,,End-user Privacy,,,,,,Binary Hardening,,,,,,Linux Hardening,,,,,,,,,,Statistics,,,,,,,
StartVision,Fail,Pass,Fail,Fail,Fail,Fail,Fail,N/A,Fail,Fail,Pass,Pass,Pass,Pass,Fail,N/A,Unknown,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Pass,Unknown,Pass,Pass,Pass,Unknown,Unknown,Pass,Unknown,Pass,Unknown,Unknown,Pass,Pass,Fail,Pass,Pass,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,13,23,7,66,35%,70%,20%
Moonxiao,Fail,Fail,Fail,Fail,Fail,Fail,Fail,N/A,Fail,Fail,Fail,Fail,Fail,Pass,Fail,N/A,Pass,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Fail,Fail,Pass,Fail,Pass,N/A,Fail,N/A,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,18,41,7,0,66,27%,38%,62%
LaView,Fail,Fail,Pass,Pass,Fail,Pass,N/A,N/A,N/A,N/A,Pass,Fail,Pass,Pass,Fail,N/A,Pass,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Fail,N/A,Fail,Fail,Pass,Unknown,Unknown,Pass,Unknown,Pass,Unknown,Unknown,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Unknown,21,28,11,6,66,32%,48%,42%
Ecobee,Fail,Fail,Pass,Pass,Pass,Pass,N/A,N/A,N/A,N/A,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,N/A,Fail,Fail,Pass,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Unknown,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Unknown,Fail,Pass,Unknown,N/A,N/A,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,N/A,#N/A,Fail,Unknown,29,21,11,4,65,45%,62%,32%
Reolink,Fail,Fail,Fail,Pass,Fail,Fail,Pass,N/A,Fail,Pass,Fail,Fail,Fail,Pass,Fail,N/A,Pass,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,25,33,8,0,66,38%,50%,50%
Eufy,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Unknown,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Unknown,Fail,Pass,Pass,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,16,22,2,66,39%,73%,24%
HeimVision,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Pass,Fail,Pass,Fail,N/A,Unknown,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Pass,N/A,Fail,N/A,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Unknown,Unknown,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,20,40,3,3,66,30%,35%,61%
Aqara,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Fail,N/A,Fail,Pass,Fail,Pass,N/A,Fail,Fail,Pass,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Unknown,26,35,4,1,66,39%,45%,53%
Sense-U,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Fail,N/A,Fail,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Fail,N/A,Fail,Fail,Fail,N/A,N/A,N/A,Unknown,N/A,Unknown,Unknown,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Unknown,16,35,11,4,66,24%,41%,53%
Mascarry,Fail,Pass,Pass,Pass,Fail,Pass,N/A,N/A,N/A,N/A,Fail,Fail,Fail,Pass,Fail,N/A,Fail,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Fail,Fail,N/A,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Unknown,Unknown,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Unknown,22,30,11,3,66,33%,50%,45%
Anbes,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Pass,Fail,N/A,Pass,Pass,Fail,Pass,N/A,Fail,Fail,Pass,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Fail,Pass,Unknown,Pass,Pass,Pass,Unknown,Unknown,Fail,Unknown,Pass,Unknown,Unknown,Pass,Pass,Fail,Pass,Pass,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,15,20,6,66,38%,68%,23%
Victure,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Pass,Fail,N/A,Pass,Pass,Fail,Pass,N/A,Fail,Fail,Pass,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Fail,Pass,Unknown,Pass,Pass,Pass,Unknown,Unknown,Fail,Unknown,Pass,Unknown,Unknown,Pass,Fail,Fail,Pass,Pass,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,17,20,6,66,35%,65%,26%
Euarne,Fail,Fail,Fail,Fail,Fail,Fail,Fail,N/A,Fail,Pass,Pass,Pass,Pass,Pass,Fail,N/A,Unknown,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Fail,N/A,Pass,Pass,Pass,Unknown,Unknown,Fail,Unknown,Pass,Unknown,Unknown,Pass,Fail,Fail,Pass,Pass,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,16,24,6,66,30%,67%,24%
Ecwey,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass,N/A,N/A,Unknown,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,N/A,N/A,Fail,Pass,N/A,Fail,N/A,Pass,Pass,Pass,Unknown,Unknown,Fail,Unknown,Fail,Unknown,Unknown,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,14,40,6,6,66,21%,30%,61%
